driver,team,driver_encoded,team_encoded,race_name_encoded,year,driver_competitiveness,team_competitiveness,points_last_3,session_air_temp,session_track_temp,session_humidity,session_rainfall,heat_index,weather_difficulty_index,circuit_type_encoded,driver_avg_points_in_rain_x,driver_avg_points_in_dry_x,driver_rain_dry_delta_x,driver_avg_points_in_rain_y,driver_avg_points_in_dry_y,driver_rain_dry_delta_y
VER,Red Bull Racing,28,11,0,2025,4.7800737755903295,14.533581490338632,4.666666666666667,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,19.19047619047619,18.866666666666667,0.32380952380952266
TSU,Red Bull Racing,27,11,0,2025,0.014034691270164339,14.533581490338632,0.0,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,0.5238095238095238,0.8421052631578947,-0.31829573934837085
LEC,Ferrari,15,4,0,2025,6.760606201616704,16.259336870907067,9.0,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,8.95,12.766666666666667,-3.816666666666668
HAM,Ferrari,11,4,0,2025,3.168277652387084,16.259336870907067,2.0,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,9.428571428571429,9.389830508474576,0.038740920096852705
NOR,McLaren,18,7,0,2025,12.9479555139148,12.781247820235954,14.333333333333334,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,10.80952380952381,11.098360655737705,-0.28883684621389527
PIA,McLaren,21,7,0,2025,11.744223908213113,12.781247820235954,14.333333333333334,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,9.642857142857142,10.555555555555555,-0.912698412698413
RUS,Mercedes,23,8,0,2025,6.824683042025649,8.208131924928898,8.333333333333334,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,9.65,10.065573770491802,-0.4155737704918021
ANT,Mercedes,2,8,0,2025,1.1378443812863999,8.208131924928898,0.3333333333333333,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,7.0,3.125,3.875
ALB,Williams,0,12,0,2025,1.640446029443228,0.2643087898490562,2.6666666666666665,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,2.3529411764705883,0.9482758620689655,1.4046653144016228
SAI,Williams,24,12,0,2025,0.1632558016230171,0.2643087898490562,0.0,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,8.0,9.280701754385966,-1.2807017543859658
HAD,Racing Bulls,10,10,0,2025,0.22089234677759997,0.0,0.0,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,0.0,2.3333333333333335,-2.3333333333333335
LAW,Racing Bulls,14,10,0,2025,2.302044291791066,0.0,2.6666666666666665,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,1.0,1.1111111111111112,-0.11111111111111116
ALO,Aston Martin,1,3,0,2025,3.1089282515730994,0.6591897661264622,3.3333333333333335,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,5.619047619047619,4.213114754098361,1.405932864949258
STR,Aston Martin,26,3,0,2025,1.9643313413393766,0.6591897661264622,2.0,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,2.45,1.4067796610169492,1.043220338983051
OCO,Haas,19,0,0,2025,0.1942999655149963,0.0,0.0,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,2.9047619047619047,2.2413793103448274,0.6633825944170773
BEA,Haas,3,0,0,2025,0.005540056163942398,0.0,0.0,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,0.0,1.1818181818181819,-1.1818181818181819
GAS,Alpine,9,2,0,2025,0.9291876522531379,5.22043644883368,0.3333333333333333,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,2.9,1.3,1.5999999999999999
COL,Alpine,6,2,0,2025,0.002124539559936,5.22043644883368,0.0,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,0.0,0.4166666666666667,-0.4166666666666667
HUL,Sauber,12,0,0,2025,1.7137539365898513,0.0,0.0,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,2.7333333333333334,0.8260869565217391,1.9072463768115941
BOR,Sauber,4,0,0,2025,2.4153599999999997,0.0,3.3333333333333335,26.0,35.0,45.0,0,0.30100000000000005,0.45,0,0.0,0.0,0.0,0.4,1.3333333333333333,-0.9333333333333332
