driver,team,race_name,year,round,weekend_key,fp3_best_time,quali_best_time,ratio_fp3_quali,delta_fp3_quali_s,fp3_laps_count,event_delta_median_s,sq_best_time,sq_position,sprint_position,sprint_best_lap_time,sprint_points
PER,Red Bull Racing,Bahrain Grand Prix,2024,1,2024_Bahrain Grand Prix,91.248,89.537,0.981248904085569,-1.7109999999999985,11,-1.6069999999999922,,,,,
SAI,Ferrari,Bahrain Grand Prix,2024,1,2024_Bahrain Grand Prix,90.824,89.507,0.9854994274641065,-1.316999999999993,13,-1.6069999999999922,,,,,
VER,Red Bull Racing,Bahrain Grand Prix,2024,1,2024_Bahrain Grand Prix,91.062,89.179,0.9793217807647537,-1.8829999999999956,12,-1.6069999999999922,,,,,
NOR,McLaren,Bahrain Grand Prix,2024,1,2024_Bahrain Grand Prix,91.118,89.614,0.9834939309466846,-1.5039999999999907,8,-1.6069999999999922,,,,,
ALO,Aston Martin,Bahrain Grand Prix,2024,1,2024_Bahrain Grand Prix,90.965,89.542,0.9843566206782829,-1.4230000000000018,14,-1.6069999999999922,,,,,
LEC,Ferrari,Bahrain Grand Prix,2024,1,2024_Bahrain Grand Prix,91.094,89.407,0.9814806683206359,-1.6869999999999976,14,-1.6069999999999922,,,,,
HAM,Mercedes,Bahrain Grand Prix,2024,1,2024_Bahrain Grand Prix,91.452,89.71,0.9809517561124961,-1.7420000000000044,15,-1.6069999999999922,,,,,
HUL,Haas F1 Team,Bahrain Grand Prix,2024,1,2024_Bahrain Grand Prix,91.278,90.502,0.9914984990906899,-0.7760000000000105,11,-1.6069999999999922,,,,,
PIA,McLaren,Bahrain Grand Prix,2024,1,2024_Bahrain Grand Prix,91.21,89.683,0.9832584146475168,-1.5269999999999868,9,-1.6069999999999922,,,,,
RUS,Mercedes,Bahrain Grand Prix,2024,1,2024_Bahrain Grand Prix,91.19,89.485,0.9813027744270205,-1.7049999999999983,7,-1.6069999999999922,,,,,
PER,Red Bull Racing,Saudi Arabian Grand Prix,2024,2,2024_Saudi Arabian Grand Prix,88.906,87.807,0.9876386295638089,-1.0990000000000038,7,-0.8895000000000053,,,,,
VER,Red Bull Racing,Saudi Arabian Grand Prix,2024,2,2024_Saudi Arabian Grand Prix,88.412,87.472,0.9893679591005744,-0.9400000000000119,10,-0.8895000000000053,,,,,
NOR,McLaren,Saudi Arabian Grand Prix,2024,2,2024_Saudi Arabian Grand Prix,88.971,88.132,0.9905699609985277,-0.8389999999999986,7,-0.8895000000000053,,,,,
TSU,RB,Saudi Arabian Grand Prix,2024,2,2024_Saudi Arabian Grand Prix,89.572,88.547,0.9885566918233376,-1.0250000000000057,13,-0.8895000000000053,,,,,
